Case,Fs_MSPS,Tone_MHz,ADC_Vpp,Ideal_Input_dBFS,AFE_UsefulBand_RMS_uV,AFE_Aliased_Record_RMS_uV,ADCOnly_SNR_dB,ADCOnly_SINAD_dB,ADCOnly_THD_dBc,ADCOnly_SFDR_dBc,ADCOnly_ENOB_bits,System_SNR_dB,System_SINAD_dB,System_THD_dBc,System_SFDR_dBc,System_ENOB_bits,Delta_SNR_dB,Delta_SINAD_dB
DUAL_HIGH,62.5,19.9995040893555,2.13199,-2.36745736041977,26,28.433799624786,77.0311815105431,76.5905716500388,-86.7463151609377,87.8360079552575,12.4303275166177,76.7152939548981,76.3027870120797,-86.730938542734,87.8806219301764,12.3825227594817,-0.315887555644991,-0.287784637959049
DUAL_LOW,62.5,19.9995040893555,2.449,-1.1633849243501,25.36,27.9505731741132,78.2186553898392,77.2163663693249,-84.0757904603688,85.5381654789879,12.5342801277948,77.9346842538123,76.9706422414026,-83.980633872704,85.4940527284317,12.4934621663459,-0.283971136026892,-0.245724127922244
FAST_LOW,125,39.9990081787109,2.20466,-2.07632817488737,36.34,37.8848295496473,77.3700931291733,76.7536172748664,-85.53689204855,86.723703744145,12.4574115074529,76.8728607715092,76.316631093082,-85.5170795415146,86.7261330127061,12.3848224407113,-0.497232357664103,-0.436986181784377
FAST_HIGH,125,39.9990081787109,1.93892,-3.19196281840389,36.8,38.0261102577977,76.3147310745486,76.037798448108,-88.1296308655379,88.7579034350181,12.3385047255993,75.7589310881918,75.5368622781338,-88.5603910231348,89.0749540970624,12.2552927372315,-0.555799986356845,-0.500936169974239
