channel,requested_frequency_Hz,FULL222_actual_frequency_Hz,S47P_actual_frequency_Hz,relative_frobenius_S_error,max_abs_S_error,FULL222_reduced_HIGH_gain_dB,FULL222_reduced_LOW_gain_dB,FULL222_reduced_LOW_MINUS_HIGH_dB
CH1,0.0,0.0,0.0,2.813699023932325e-05,7.796871384400098e-05,-24.121268232436407,-12.0554030953231,12.065865137113306
CH1,100000.0,100000.0,100000.0,1.1389964125007903e-11,2.6592584060530425e-11,-19.192931825464743,-14.728754699897424,4.4641771255673195
CH1,1000000.0,1000000.0,1000000.0,1.4578904633013077e-06,1.5838977675721896e-06,-17.205742866862956,-14.965804326705266,2.2399385401576897
CH1,2000000.0,2000000.0,2000000.0,2.8635681238417005e-06,2.3168395732107747e-06,-17.140420185545025,-14.947510520870217,2.192909664674808
CH2,0.0,0.0,0.0,1.9654477638275267e-05,4.8638525882676534e-05,-24.159091660827112,-12.094208759574055,12.064882901253057
CH2,100000.0,100000.0,100000.0,7.091399521287924e-12,2.4816662297709647e-11,-19.394797789321437,-15.062254720749467,4.332543068571971
CH2,1000000.0,1000000.0,1000000.0,1.2596841236850683e-06,1.5652111422055315e-06,-17.577243562586876,-15.32282830498361,2.2544152576032666
CH2,2000000.0,2000000.0,2000000.0,2.7230089446477234e-06,2.0579049724120287e-06,-17.514855128863218,-15.305411430026577,2.2094436988366404
