  Frequency            , DB(V(N00099)-V(N00103)), DB(V(N00115)-V(N00119)), DB(V(N00107)-V(N00111)), DB(V(N00123)-V(N00131)), DB((V(N00115)-V(N00119))/(V(N00099)-V(N00103))), DB((V(N00123)-V(N00131))/(V(N00107)-V(N00111)))
  1.154781984690e+08  ,-6.539129737892e+00  ,-6.500305400679e+01  ,-6.837889889320e+00  ,-7.296018758631e+01  ,-5.846392426890e+01  ,-6.612229769699e+01  
  1.161448613840e+08  ,-6.533696066428e+00  ,-6.493059242650e+01  ,-6.829456237934e+00  ,-7.291148235796e+01  ,-5.839689636007e+01  ,-6.608202612003e+01  
  1.168153729861e+08  ,-6.528265659504e+00  ,-6.485837091266e+01  ,-6.820942428668e+00  ,-7.286077402591e+01  ,-5.833010525316e+01  ,-6.603983159724e+01  
  1.174897554940e+08  ,-6.522833229763e+00  ,-6.478636245490e+01  ,-6.812347822669e+00  ,-7.280814208612e+01  ,-5.826352922514e+01  ,-6.599579426345e+01  
  1.181680312545e+08  ,-6.517393423937e+00  ,-6.471454022397e+01  ,-6.803671774537e+00  ,-7.275366299888e+01  ,-5.819714680003e+01  ,-6.594999122435e+01  
  1.188502227437e+08  ,-6.511940864188e+00  ,-6.464287762632e+01  ,-6.794913632128e+00  ,-7.269741023607e+01  ,-5.813093676213e+01  ,-6.590249660394e+01  
  1.195363525674e+08  ,-6.506470185969e+00  ,-6.457134835623e+01  ,-6.786072735685e+00  ,-7.263945434302e+01  ,-5.806487817027e+01  ,-6.585338160733e+01  
  1.202264434617e+08  ,-6.500976069945e+00  ,-6.449992643377e+01  ,-6.777148418585e+00  ,-7.257986299580e+01  ,-5.799895036382e+01  ,-6.580271457722e+01  
  1.209205182943e+08  ,-6.495453270107e+00  ,-6.442858624243e+01  ,-6.768140006803e+00  ,-7.251870106636e+01  ,-5.793313297232e+01  ,-6.575056105956e+01  
  1.216186000646e+08  ,-6.489896638056e+00  ,-6.435730255142e+01  ,-6.759046818764e+00  ,-7.245603069220e+01  ,-5.786740591337e+01  ,-6.569698387344e+01  
  1.223207119050e+08  ,-6.484301143633e+00  ,-6.428605054292e+01  ,-6.749868165210e+00  ,-7.239191134125e+01  ,-5.780174939929e+01  ,-6.564204317604e+01  
  1.230268770812e+08  ,-6.478661889400e+00  ,-6.421480582271e+01  ,-6.740603348094e+00  ,-7.232639988954e+01  ,-5.773614393331e+01  ,-6.558579654144e+01  
  1.237371189935e+08  ,-6.472974126580e+00  ,-6.414354443764e+01  ,-6.731251661826e+00  ,-7.225955068956e+01  ,-5.767057031106e+01  ,-6.552829902774e+01  
  1.244514611771e+08  ,-6.467233262843e+00  ,-6.407224287550e+01  ,-6.721812392205e+00  ,-7.219141564510e+01  ,-5.760500961266e+01  ,-6.546960325289e+01  
  1.251699273032e+08  ,-6.461434868656e+00  ,-6.400087807260e+01  ,-6.712284816501e+00  ,-7.212204428813e+01  ,-5.753944320394e+01  ,-6.540975947163e+01  
  1.258925411794e+08  ,-6.455574683059e+00  ,-6.392942741151e+01  ,-6.702668202492e+00  ,-7.205148384718e+01  ,-5.747385272845e+01  ,-6.534881564469e+01  
  1.266193267511e+08  ,-6.449648614119e+00  ,-6.385786871742e+01  ,-6.692961809128e+00  ,-7.197977932947e+01  ,-5.740822010331e+01  ,-6.528681752034e+01  
  1.273503081017e+08  ,-6.443652740483e+00  ,-6.378618025217e+01  ,-6.683164886288e+00  ,-7.190697358788e+01  ,-5.734252751169e+01  ,-6.522380870159e+01  
  1.280855094536e+08  ,-6.437583308140e+00  ,-6.371434070606e+01  ,-6.673276673385e+00  ,-7.183310739668e+01  ,-5.727675739792e+01  ,-6.515983072330e+01  
  1.288249551693e+08  ,-6.431436729935e+00  ,-6.364232919069e+01  ,-6.663296401020e+00  ,-7.175821952233e+01  ,-5.721089246076e+01  ,-6.509492312131e+01  
  1.295686697517e+08  ,-6.425209577870e+00  ,-6.357012522201e+01  ,-6.653223288444e+00  ,-7.168234679571e+01  ,-5.714491564414e+01  ,-6.502912350727e+01  
  1.303166778452e+08  ,-6.418898580315e+00  ,-6.349770871278e+01  ,-6.643056545383e+00  ,-7.160552417922e+01  ,-5.707881013246e+01  ,-6.496246763384e+01  
  1.310690042366e+08  ,-6.412500615806e+00  ,-6.342505995608e+01  ,-6.632795370504e+00  ,-7.152778483541e+01  ,-5.701255934028e+01  ,-6.489498946491e+01  
  1.318256738556e+08  ,-6.406012705976e+00  ,-6.335215961424e+01  ,-6.622438951527e+00  ,-7.144916019444e+01  ,-5.694614690827e+01  ,-6.482672124291e+01  
  1.325867117761e+08  ,-6.399432008664e+00  ,-6.327898870243e+01  ,-6.611986464798e+00  ,-7.136968001522e+01  ,-5.687955669376e+01  ,-6.475769355042e+01  
