  Frequency            , DB(V(N00099)-V(N00103)), DB(V(N00115)-V(N00119)), DB(V(N00107)-V(N00111)), DB(V(N00123)-V(N00131)), DB((V(N00115)-V(N00119))/(V(N00099)-V(N00103))), DB((V(N00123)-V(N00131))/(V(N00107)-V(N00111)))
  1.000000000000e+05  ,-1.070730403296e+01  ,-1.286916306532e+01  ,-1.312036209540e+01  ,-1.528123744407e+01  ,-2.161859032354e+00  ,-2.160875348676e+00  
  1.005773063002e+05  ,-1.065915243940e+01  ,-1.282102793987e+01  ,-1.304076709276e+01  ,-1.520165888116e+01  ,-2.161875500473e+00  ,-2.160891788403e+00  
  1.011579454260e+05  ,-1.061099497493e+01  ,-1.277288712873e+01  ,-1.296100325777e+01  ,-1.512191167078e+01  ,-2.161892153798e+00  ,-2.160908413009e+00  
  1.017419366181e+05  ,-1.056283850632e+01  ,-1.272474750021e+01  ,-1.288107888214e+01  ,-1.504200410619e+01  ,-2.161908993886e+00  ,-2.160925224045e+00  
  1.023292992281e+05  ,-1.051468984856e+01  ,-1.267661587163e+01  ,-1.280100226584e+01  ,-1.496194448965e+01  ,-2.161926023066e+00  ,-2.160942223810e+00  
  1.029200527194e+05  ,-1.046655576729e+01  ,-1.262849901055e+01  ,-1.272078175338e+01  ,-1.488174116769e+01  ,-2.161943243258e+00  ,-2.160959414305e+00  
  1.035142166679e+05  ,-1.041844298728e+01  ,-1.258040364384e+01  ,-1.264042575331e+01  ,-1.480140255092e+01  ,-2.161960656569e+00  ,-2.160976797612e+00  
  1.041118107623e+05  ,-1.037035819017e+01  ,-1.253233645531e+01  ,-1.255994275234e+01  ,-1.472093712807e+01  ,-2.161978265135e+00  ,-2.160994375733e+00  
  1.047128548051e+05  ,-1.032230801959e+01  ,-1.248430409049e+01  ,-1.247934133389e+01  ,-1.464035348469e+01  ,-2.161996070895e+00  ,-2.161012150794e+00  
  1.053173687130e+05  ,-1.027429908543e+01  ,-1.243631316160e+01  ,-1.239863020980e+01  ,-1.455966033479e+01  ,-2.162014076173e+00  ,-2.161030124991e+00  
  1.059253725177e+05  ,-1.022633796952e+01  ,-1.238837025265e+01  ,-1.231781823147e+01  ,-1.447886653193e+01  ,-2.162032283133e+00  ,-2.161048300462e+00  
  1.065368863668e+05  ,-1.017843122362e+01  ,-1.234048191749e+01  ,-1.223691442691e+01  ,-1.439798110621e+01  ,-2.162050693868e+00  ,-2.161066679303e+00  
  1.071519305238e+05  ,-1.013058537902e+01  ,-1.229265468956e+01  ,-1.215592799949e+01  ,-1.431701326331e+01  ,-2.162069310544e+00  ,-2.161085263821e+00  
  1.077705253694e+05  ,-1.008280694517e+01  ,-1.224489508064e+01  ,-1.207486838361e+01  ,-1.423597243986e+01  ,-2.162088135466e+00  ,-2.161104056247e+00  
  1.083926914021e+05  ,-1.003510241783e+01  ,-1.219720958871e+01  ,-1.199374523957e+01  ,-1.415486829828e+01  ,-2.162107170886e+00  ,-2.161123058705e+00  
  1.090184492385e+05  ,-9.987478278426e+00  ,-1.214960469742e+01  ,-1.191256850193e+01  ,-1.407371077551e+01  ,-2.162126418997e+00  ,-2.161142273580e+00  
  1.096478196143e+05  ,-9.939941001888e+00  ,-1.210208688395e+01  ,-1.183134839372e+01  ,-1.399251009670e+01  ,-2.162145882061e+00  ,-2.161161702987e+00  
  1.102808233850e+05  ,-9.892497058042e+00  ,-1.205466262052e+01  ,-1.175009545661e+01  ,-1.391127680588e+01  ,-2.162165562480e+00  ,-2.161181349263e+00  
  1.109174815262e+05  ,-9.845152914577e+00  ,-1.200733837718e+01  ,-1.166882058165e+01  ,-1.383002179662e+01  ,-2.162185462601e+00  ,-2.161201214975e+00  
  1.115578151351e+05  ,-9.797915043595e+00  ,-1.196012062828e+01  ,-1.158753503347e+01  ,-1.374875633566e+01  ,-2.162205584681e+00  ,-2.161221302186e+00  
  1.122018454302e+05  ,-9.750789922665e+00  ,-1.191301585390e+01  ,-1.150625048149e+01  ,-1.366749209498e+01  ,-2.162225931240e+00  ,-2.161241613488e+00  
  1.128495937528e+05  ,-9.703784042118e+00  ,-1.186603054670e+01  ,-1.142497903892e+01  ,-1.358624119005e+01  ,-2.162246504580e+00  ,-2.161262151138e+00  
  1.135010815672e+05  ,-9.656903902470e+00  ,-1.181917120959e+01  ,-1.134373327577e+01  ,-1.350501619333e+01  ,-2.162267307125e+00  ,-2.161282917561e+00  
  1.141563304619e+05  ,-9.610156027547e+00  ,-1.177244436885e+01  ,-1.126252627780e+01  ,-1.342383019307e+01  ,-2.162288341306e+00  ,-2.161303915277e+00  
  1.148153621497e+05  ,-9.563546958022e+00  ,-1.172585656787e+01  ,-1.118137165285e+01  ,-1.334269679974e+01  ,-2.162309609846e+00  ,-2.161325146891e+00  
  1.154781984689e+05  ,-9.517083264515e+00  ,-1.167941437936e+01  ,-1.110028358482e+01  ,-1.326163019946e+01  ,-2.162331114845e+00  ,-2.161346614641e+00  
  1.161448613840e+05  ,-9.470771545294e+00  ,-1.163312440433e+01  ,-1.101927685767e+01  ,-1.318064517863e+01  ,-2.162352859038e+00  ,-2.161368320956e+00  
  1.168153729861e+05  ,-9.424618431770e+00  ,-1.158699327672e+01  ,-1.093836690296e+01  ,-1.309975717172e+01  ,-2.162374844954e+00  ,-2.161390268763e+00  
  1.174897554940e+05  ,-9.378630592533e+00  ,-1.154102766770e+01  ,-1.085756982404e+01  ,-1.301898228438e+01  ,-2.162397075165e+00  ,-2.161412460336e+00  
  1.181680312545e+05  ,-9.332814739256e+00  ,-1.149523429147e+01  ,-1.077690244759e+01  ,-1.293833734599e+01  ,-2.162419552216e+00  ,-2.161434898394e+00  
  1.188502227437e+05  ,-9.287177625959e+00  ,-1.144961990481e+01  ,-1.069638235072e+01  ,-1.285783993629e+01  ,-2.162442278854e+00  ,-2.161457585566e+00  
  1.195363525674e+05  ,-9.241726056830e+00  ,-1.140419131453e+01  ,-1.061602791295e+01  ,-1.277750843726e+01  ,-2.162465257702e+00  ,-2.161480524313e+00  
  1.202264434617e+05  ,-9.196466887023e+00  ,-1.135895537833e+01  ,-1.053585834356e+01  ,-1.269736206110e+01  ,-2.162488491306e+00  ,-2.161503717542e+00  
  1.209205182943e+05  ,-9.151407030288e+00  ,-1.131391901276e+01  ,-1.045589374025e+01  ,-1.261742090800e+01  ,-2.162511982470e+00  ,-2.161527167750e+00  
  1.216186000646e+05  ,-9.106553457429e+00  ,-1.126908919139e+01  ,-1.037615511135e+01  ,-1.253770598926e+01  ,-2.162535733958e+00  ,-2.161550877906e+00  
  1.223207119050e+05  ,-9.061913202506e+00  ,-1.122447295074e+01  ,-1.029666443727e+01  ,-1.245823928769e+01  ,-2.162559748238e+00  ,-2.161574850426e+00  
  1.230268770812e+05  ,-9.017493369255e+00  ,-1.118007739764e+01  ,-1.021744469403e+01  ,-1.237904378220e+01  ,-2.162584028390e+00  ,-2.161599088179e+00  
  1.237371189935e+05  ,-8.973301129433e+00  ,-1.113590970664e+01  ,-1.013851991983e+01  ,-1.230014351401e+01  ,-2.162608577209e+00  ,-2.161623594172e+00  
  1.244514611771e+05  ,-8.929343730382e+00  ,-1.109197712769e+01  ,-1.005991524040e+01  ,-1.222156361151e+01  ,-2.162633397307e+00  ,-2.161648371110e+00  
  1.251699273032e+05  ,-8.885628496292e+00  ,-1.104828698804e+01  ,-9.981656916795e+00  ,-1.214333033842e+01  ,-2.162658491749e+00  ,-2.161673421627e+00  
  1.258925411794e+05  ,-8.842162832407e+00  ,-1.100484669563e+01  ,-9.903772398455e+00  ,-1.206547114728e+01  ,-2.162683863224e+00  ,-2.161698748824e+00  
  1.266193267511e+05  ,-8.798954228083e+00  ,-1.096166374294e+01  ,-9.826290343998e+00  ,-1.198801469963e+01  ,-2.162709514854e+00  ,-2.161724355629e+00  
  1.273503081017e+05  ,-8.756010259141e+00  ,-1.091874570847e+01  ,-9.749240693882e+00  ,-1.191099093872e+01  ,-2.162735449332e+00  ,-2.161750244836e+00  
  1.280855094536e+05  ,-8.713338594655e+00  ,-1.087610026449e+01  ,-9.672654677373e+00  ,-1.183443109691e+01  ,-2.162761669839e+00  ,-2.161776419540e+00  
  1.288249551693e+05  ,-8.670946994921e+00  ,-1.083373517409e+01  ,-9.596564883792e+00  ,-1.175836776639e+01  ,-2.162788179168e+00  ,-2.161802882602e+00  
  1.295686697517e+05  ,-8.628843317136e+00  ,-1.079165829763e+01  ,-9.521005271401e+00  ,-1.168283490844e+01  ,-2.162814980494e+00  ,-2.161829637037e+00  
  1.303166778452e+05  ,-8.587035517690e+00  ,-1.074987759445e+01  ,-9.446011224747e+00  ,-1.160786791063e+01  ,-2.162842076764e+00  ,-2.161856685888e+00  
  1.310690042366e+05  ,-8.545531656783e+00  ,-1.070840112796e+01  ,-9.371619572896e+00  ,-1.153350360522e+01  ,-2.162869471178e+00  ,-2.161884032324e+00  
  1.318256738556e+05  ,-8.504339897075e+00  ,-1.066723706373e+01  ,-9.297868632346e+00  ,-1.145978031163e+01  ,-2.162897166659e+00  ,-2.161911679280e+00  
  1.325867117761e+05  ,-8.463468508826e+00  ,-1.062639367525e+01  ,-9.224798214586e+00  ,-1.138673784464e+01  ,-2.162925166421e+00  ,-2.161939630058e+00  
  1.333521432163e+05  ,-8.422925872589e+00  ,-1.058587934621e+01  ,-9.152449666662e+00  ,-1.131441755422e+01  ,-2.162953473619e+00  ,-2.161967887555e+00  
  1.341219935405e+05  ,-8.382720478521e+00  ,-1.054570257006e+01  ,-9.080865870123e+00  ,-1.124286232544e+01  ,-2.162982091537e+00  ,-2.161996455319e+00  
  1.348962882592e+05  ,-8.342860930644e+00  ,-1.050587195382e+01  ,-9.010091265426e+00  ,-1.117211660164e+01  ,-2.163011023176e+00  ,-2.162025336213e+00  
  1.356750530300e+05  ,-8.303355947959e+00  ,-1.046639621996e+01  ,-8.940171847821e+00  ,-1.110222638149e+01  ,-2.163040271998e+00  ,-2.162054533667e+00  
  1.364583136589e+05  ,-8.264214366159e+00  ,-1.042728420721e+01  ,-8.871155171248e+00  ,-1.103323922195e+01  ,-2.163069841051e+00  ,-2.162084050706e+00  
  1.372460961008e+05  ,-8.225445138274e+00  ,-1.038854487204e+01  ,-8.803090323451e+00  ,-1.096520421437e+01  ,-2.163099733764e+00  ,-2.162113890915e+00  
  1.380384264603e+05  ,-8.187057334927e+00  ,-1.035018728845e+01  ,-8.736027930548e+00  ,-1.089817198813e+01  ,-2.163129953524e+00  ,-2.162144057578e+00  
  1.388353309929e+05  ,-8.149060146428e+00  ,-1.031222064992e+01  ,-8.670020101196e+00  ,-1.083219465503e+01  ,-2.163160503494e+00  ,-2.162174553834e+00  
  1.396368361056e+05  ,-8.111462883111e+00  ,-1.027465427039e+01  ,-8.605120405340e+00  ,-1.076732578862e+01  ,-2.163191387275e+00  ,-2.162205383282e+00  
  1.404429683578e+05  ,-8.074274975297e+00  ,-1.023749758340e+01  ,-8.541383819628e+00  ,-1.070362036899e+01  ,-2.163222608106e+00  ,-2.162236549359e+00  
  1.412537544623e+05  ,-8.037505972344e+00  ,-1.020076014190e+01  ,-8.478866660472e+00  ,-1.064113471559e+01  ,-2.163254169560e+00  ,-2.162268055116e+00  
  1.420692212860e+05  ,-8.001165542533e+00  ,-1.016445161759e+01  ,-8.417626508370e+00  ,-1.057992641272e+01  ,-2.163286075052e+00  ,-2.162299904353e+00  
  1.428893958511e+05  ,-7.965263473867e+00  ,-1.012858180208e+01  ,-8.357722121810e+00  ,-1.052005422240e+01  ,-2.163318328213e+00  ,-2.162332100595e+00  
  1.437143053356e+05  ,-7.929809668708e+00  ,-1.009316060117e+01  ,-8.299213330067e+00  ,-1.046157797746e+01  ,-2.163350932462e+00  ,-2.162364647394e+00  
  1.445439770746e+05  ,-7.894814148119e+00  ,-1.005819803944e+01  ,-8.242160926257e+00  ,-1.040455847437e+01  ,-2.163383891325e+00  ,-2.162397548108e+00  
  1.453784385608e+05  ,-7.860287044560e+00  ,-1.002370425288e+01  ,-8.186626499115e+00  ,-1.034905730550e+01  ,-2.163417208321e+00  ,-2.162430806382e+00  
  1.462177174457e+05  ,-7.826238601868e+00  ,-9.989689489324e+00  ,-8.132672327680e+00  ,-1.029513675363e+01  ,-2.163450887456e+00  ,-2.162464425948e+00  
  1.470618415405e+05  ,-7.792679171350e+00  ,-9.956164103438e+00  ,-8.080361178349e+00  ,-1.024285958871e+01  ,-2.163484932089e+00  ,-2.162498410359e+00  
  1.479108388168e+05  ,-7.759619210103e+00  ,-9.923138556062e+00  ,-8.029756132222e+00  ,-1.019228889566e+01  ,-2.163519345958e+00  ,-2.162532763434e+00  
  1.487647374080e+05  ,-7.727069275798e+00  ,-9.890623408638e+00  ,-7.980920389037e+00  ,-1.014348787768e+01  ,-2.163554132840e+00  ,-2.162567488643e+00  
