"Time_s","OUT_V","OP_OUT_V","DACP_V","DACN_V","PIN_V","NIN_V"
"9.28E-07","-0.3858","-0.7719","0.1069","0.2284","0.08941","0.08926"
"9.3E-07","-0.3737","-0.7435","0.113","0.2252","0.09692","0.08899"
"9.32E-07","-0.3578","-0.7141","0.1132","0.2273","0.09728","0.09408"
"9.34E-07","-0.3518","-0.7033","0.1132","0.2282","0.09717","0.09626"
"9.36E-07","-0.35","-0.7004","0.116","0.2253","0.0971","0.09693"
"9.38E-07","-0.3377","-0.6714","0.1222","0.2223","0.1048","0.09666"
"9.4E-07","-0.3214","-0.6412","0.1224","0.2244","0.1052","0.1019"
"9.42E-07","-0.3152","-0.6301","0.1224","0.2253","0.1051","0.1041"
"9.44E-07","-0.3134","-0.6272","0.1248","0.223","0.105","0.1048"
"9.46E-07","-0.3008","-0.5975","0.1316","0.2193","0.1128","0.1045"
"9.48E-07","-0.2843","-0.5668","0.1318","0.2214","0.1132","0.1098"
"9.5E-07","-0.2779","-0.5556","0.1317","0.2223","0.1131","0.1121"
"9.52E-07","-0.2762","-0.5525","0.1347","0.2194","0.113","0.1128"
"9.54E-07","-0.2633","-0.5223","0.1412","0.2162","0.121","0.1125"
"9.56E-07","-0.2464","-0.4909","0.1414","0.2184","0.1214","0.1179"
"9.58E-07","-0.2399","-0.4795","0.1413","0.2193","0.1213","0.1203"
"9.6E-07","-0.2381","-0.4764","0.1443","0.2163","0.1212","0.121"
"9.62E-07","-0.2251","-0.4458","0.1509","0.213","0.1293","0.1207"
"9.64E-07","-0.2079","-0.4138","0.1511","0.2153","0.1297","0.1262"
"9.66E-07","-0.2013","-0.4022","0.151","0.2163","0.1296","0.1286"
"9.68E-07","-0.1994","-0.399","0.1541","0.2132","0.1295","0.1293"
"9.7E-07","-0.1863","-0.368","0.1607","0.2099","0.1378","0.129"
"9.72E-07","-0.1688","-0.3355","0.1609","0.2122","0.1382","0.1346"
"9.74E-07","-0.1621","-0.3237","0.1609","0.2131","0.1381","0.137"
"9.76E-07","-0.1602","-0.3205","0.1639","0.2102","0.138","0.1377"
"9.78E-07","-0.1469","-0.2892","0.1707","0.2067","0.1463","0.1374"
"9.8E-07","-0.1294","-0.2566","0.1709","0.209","0.1467","0.143"
"9.82E-07","-0.1226","-0.2446","0.1708","0.21","0.1466","0.1455"
"9.84E-07","-0.1207","-0.2414","0.1739","0.2069","0.1465","0.1462"
"9.86E-07","-0.1073","-0.2098","0.1807","0.2036","0.1549","0.1459"
"9.88E-07","-0.08958","-0.1769","0.1809","0.2059","0.1553","0.1516"
"9.9E-07","-0.08276","-0.1649","0.1808","0.2069","0.1552","0.154"
"9.92E-07","-0.08085","-0.1617","0.1839","0.2037","0.1551","0.1548"
"9.94E-07","-0.06739","-0.13","0.1907","0.2003","0.1635","0.1544"
"9.96E-07","-0.04951","-0.09675","0.191","0.2027","0.1639","0.1602"
"9.98E-07","-0.04266","-0.08467","0.1909","0.2037","0.1638","0.1626"
"1E-06","-0.04074","-0.08141","0.194","0.2006","0.1637","0.1634"
"1.002E-06","-0.02714","-0.04946","0.2008","0.1972","0.1722","0.1631"
"1.004E-06","-0.00932","-0.01631","0.2011","0.1995","0.1726","0.1688"
"1.006E-06","-0.00246","-0.004208","0.201","0.2005","0.1725","0.1713"
"1.008E-06","-0.0005281","-0.0009347","0.2037","0.1979","0.1724","0.172"
"1.01E-06","0.01297","0.03079","0.2109","0.194","0.1808","0.1717"
"1.012E-06","0.03082","0.06402","0.2111","0.1963","0.1812","0.1774"
"1.014E-06","0.03766","0.07609","0.2111","0.1973","0.1811","0.1799"
"1.016E-06","0.03959","0.07935","0.2138","0.1948","0.181","0.1806"
"1.018E-06","0.05316","0.1112","0.221","0.1908","0.1895","0.1804"
"1.02E-06","0.07091","0.1442","0.2212","0.1931","0.1899","0.1861"
"1.022E-06","0.07778","0.1564","0.2212","0.1941","0.1898","0.1885"
"1.024E-06","0.0797","0.1596","0.2243","0.1911","0.1897","0.1893"
"1.026E-06","0.09307","0.1911","0.231","0.1877","0.198","0.1889"
"1.028E-06","0.1108","0.2241","0.2312","0.19","0.1984","0.1946"
"1.03E-06","0.1176","0.2361","0.2312","0.191","0.1983","0.1971"
"1.032E-06","0.1195","0.2393","0.2342","0.188","0.1982","0.1978"
"1.034E-06","0.1329","0.2707","0.2409","0.1846","0.2066","0.1975"
"1.036E-06","0.1504","0.3032","0.2412","0.1869","0.207","0.2031"
"1.038E-06","0.1572","0.3152","0.2411","0.1879","0.2068","0.2056"
"1.04E-06","0.1591","0.3184","0.2437","0.1855","0.2068","0.2063"
"1.042E-06","0.1723","0.3496","0.2508","0.1815","0.215","0.206"
"1.044E-06","0.1897","0.382","0.251","0.1838","0.2154","0.2116"
"1.046E-06","0.1964","0.3938","0.251","0.1848","0.2153","0.214"
"1.048E-06","0.1983","0.397","0.254","0.1818","0.2152","0.2147"
"1.05E-06","0.2113","0.4275","0.2605","0.1785","0.2233","0.2144"
"1.052E-06","0.2285","0.4595","0.2607","0.1807","0.2237","0.22"
"1.054E-06","0.2351","0.4712","0.2607","0.1817","0.2236","0.2223"
"1.056E-06","0.2369","0.4743","0.2636","0.1788","0.2235","0.223"
"1.058E-06","0.2498","0.5046","0.2701","0.1755","0.2315","0.2228"
"1.06E-06","0.2667","0.5359","0.2703","0.1777","0.2319","0.2282"
"1.062E-06","0.2732","0.5474","0.2702","0.1787","0.2318","0.2305"
"1.064E-06","0.275","0.5505","0.2728","0.1762","0.2317","0.2312"
"1.066E-06","0.2876","0.5801","0.2795","0.1727","0.2396","0.231"
"1.068E-06","0.3042","0.6109","0.2797","0.1748","0.24","0.2363"
"1.07E-06","0.3105","0.6221","0.2796","0.1758","0.2398","0.2385"
"1.072E-06","0.3123","0.6251","0.2824","0.1729","0.2398","0.2392"
"1.074E-06","0.3247","0.6542","0.2887","0.1698","0.2475","0.239"
"1.076E-06","0.3409","0.6843","0.2889","0.1719","0.2478","0.2442"
"1.078E-06","0.3471","0.6953","0.2888","0.1729","0.2477","0.2464"
"1.08E-06","0.3489","0.6983","0.2916","0.1701","0.2477","0.2471"
"1.082E-06","0.3609","0.7265","0.2976","0.1671","0.2552","0.2468"
"1.084E-06","0.3768","0.7562","0.2978","0.1691","0.2555","0.2519"
"1.086E-06","0.3829","0.7669","0.2978","0.17","0.2554","0.2541"
"1.088E-06","0.3846","0.7698","0.3005","0.1674","0.2553","0.2548"
"1.09E-06","0.3963","0.7974","0.3064","0.1644","0.2626","0.2545"
"1.092E-06","0.4117","0.8259","0.3065","0.1664","0.263","0.2595"
"1.094E-06","0.4176","0.8364","0.3065","0.1673","0.2629","0.2616"
"1.096E-06","0.4193","0.8392","0.3089","0.1649","0.2628","0.2622"
"1.098E-06","0.4307","0.8659","0.3148","0.1619","0.2699","0.262"
"1.1E-06","0.4456","0.8937","0.315","0.1638","0.2702","0.2668"
"1.102E-06","0.4513","0.9038","0.315","0.1646","0.2701","0.2688"
"1.104E-06","0.4529","0.9066","0.3171","0.1626","0.2701","0.2695"
"1.106E-06","0.4639","0.9324","0.323","0.1594","0.2769","0.2692"
"1.108E-06","0.4783","0.9592","0.3232","0.1613","0.2772","0.2738"
"1.11E-06","0.4839","0.969","0.3231","0.1621","0.2771","0.2758"
"1.112E-06","0.4854","0.9716","0.3256","0.1597","0.2771","0.2764"
"1.114E-06","0.496","0.9964","0.3309","0.157","0.2836","0.2762"
"1.116E-06","0.5099","1.022","0.331","0.1588","0.284","0.2807"
"1.118E-06","0.5153","1.032","0.331","0.1596","0.2839","0.2826"
"1.12E-06","0.5168","1.034","0.3333","0.1573","0.2838","0.2832"
"1.122E-06","0.5268","1.058","0.3384","0.1548","0.2901","0.2829"
"1.124E-06","0.5402","1.083","0.3386","0.1565","0.2904","0.2872"
"1.126E-06","0.5453","1.092","0.3385","0.1573","0.2903","0.289"
"1.128E-06","0.5467","1.094","0.3405","0.1554","0.2903","0.2896"
"1.13E-06","0.5564","1.117","0.3456","0.1526","0.2963","0.2894"
"1.132E-06","0.5691","1.141","0.3457","0.1543","0.2966","0.2935"
"1.134E-06","0.574","1.149","0.3457","0.155","0.2965","0.2952"
"1.136E-06","0.5753","1.152","0.3477","0.1531","0.2964","0.2957"
"1.138E-06","0.5845","1.173","0.3524","0.1506","0.3021","0.2955"
"1.14E-06","0.5966","1.195","0.3526","0.1522","0.3024","0.2994"
"1.142E-06","0.6012","1.204","0.3525","0.1529","0.3023","0.3011"
"1.144E-06","0.6025","1.206","0.3545","0.1509","0.3023","0.3016"
"1.146E-06","0.6111","1.226","0.3588","0.1487","0.3076","0.3014"
"1.148E-06","0.6225","1.247","0.359","0.1502","0.3079","0.305"
"1.15E-06","0.6268","1.255","0.3589","0.1509","0.3078","0.3066"
"1.152E-06","0.6281","1.257","0.3608","0.149","0.3078","0.3071"
"1.154E-06","0.6361","1.276","0.3649","0.1469","0.3128","0.3069"
"1.156E-06","0.6469","1.296","0.365","0.1484","0.3131","0.3103"
"1.158E-06","0.651","1.303","0.365","0.149","0.313","0.3118"
"1.16E-06","0.6522","1.305","0.3664","0.1477","0.313","0.3123"
"1.162E-06","0.6597","1.323","0.3705","0.1453","0.3177","0.3121"
"1.164E-06","0.6696","1.341","0.3706","0.1466","0.3179","0.3153"
"1.166E-06","0.6734","1.348","0.3706","0.1472","0.3178","0.3166"
"1.168E-06","0.6745","1.35","0.3722","0.1456","0.3178","0.3171"
"1.17E-06","0.6815","1.366","0.3757","0.1439","0.3221","0.3169"
"1.172E-06","0.6907","1.383","0.3758","0.1451","0.3223","0.3199"
"1.174E-06","0.6942","1.39","0.3758","0.1456","0.3223","0.3211"
"1.176E-06","0.6952","1.391","0.3773","0.1441","0.3222","0.3215"
"1.178E-06","0.7016","1.406","0.3805","0.1425","0.3262","0.3214"
"1.18E-06","0.7099","1.422","0.3806","0.1436","0.3264","0.3241"
"1.182E-06","0.7131","1.428","0.3805","0.1441","0.3263","0.3252"
"1.184E-06","0.7141","1.429","0.3819","0.1428","0.3263","0.3255"
"1.186E-06","0.7199","1.443","0.3848","0.1413","0.3299","0.3254"
"1.188E-06","0.7275","1.457","0.3849","0.1423","0.3301","0.3279"
"1.19E-06","0.7304","1.462","0.3849","0.1428","0.33","0.3289"
"1.192E-06","0.7312","1.463","0.3858","0.1419","0.33","0.3292"
"1.194E-06","0.7364","1.476","0.3886","0.1403","0.3332","0.3291"
"1.196E-06","0.7431","1.488","0.3887","0.1412","0.3333","0.3313"
"1.198E-06","0.7457","1.493","0.3887","0.1416","0.3333","0.3322"
"1.2E-06","0.7465","1.494","0.3897","0.1405","0.3333","0.3325"
"1.202E-06","0.7509","1.504","0.392","0.1394","0.3361","0.3324"
"1.204E-06","0.7569","1.516","0.3921","0.1402","0.3362","0.3343"
"1.206E-06","0.7592","1.52","0.392","0.1405","0.3362","0.3351"
"1.208E-06","0.7598","1.521","0.3929","0.1396","0.3362","0.3354"
"1.21E-06","0.7637","1.53","0.3949","0.1387","0.3386","0.3353"
"1.212E-06","0.7688","1.539","0.3949","0.1393","0.3387","0.3369"
"1.214E-06","0.7707","1.543","0.3949","0.1396","0.3386","0.3376"
"1.216E-06","0.7713","1.544","0.3957","0.1389","0.3386","0.3378"
"1.218E-06","0.7745","1.551","0.3973","0.1381","0.3406","0.3378"
"1.22E-06","0.7787","1.559","0.3973","0.1386","0.3407","0.3391"
"1.222E-06","0.7804","1.562","0.3973","0.1389","0.3407","0.3397"
"1.224E-06","0.7808","1.563","0.3979","0.1383","0.3407","0.3399"
"1.226E-06","0.7834","1.569","0.3992","0.1377","0.3423","0.3399"
"1.228E-06","0.7867","1.575","0.3992","0.1381","0.3423","0.3409"
"1.23E-06","0.788","1.577","0.3992","0.1383","0.3423","0.3414"
"1.232E-06","0.7883","1.578","0.3996","0.1379","0.3423","0.3415"
"1.234E-06","0.7902","1.582","0.4006","0.1374","0.3435","0.3415"
"1.236E-06","0.7927","1.587","0.4006","0.1377","0.3435","0.3423"
"1.238E-06","0.7936","1.588","0.4006","0.1379","0.3435","0.3426"
"1.24E-06","0.7939","1.589","0.4009","0.1376","0.3435","0.3427"
"1.242E-06","0.7951","1.592","0.4015","0.1373","0.3442","0.3427"
"1.244E-06","0.7967","1.595","0.4015","0.1375","0.3443","0.3432"
"1.246E-06","0.7973","1.596","0.4015","0.1376","0.3442","0.3434"
"1.248E-06","0.7974","1.596","0.4016","0.1375","0.3442","0.3435"
"1.25E-06","0.7979","1.597","0.4018","0.1374","0.3445","0.3435"
"1.252E-06","0.7986","1.598","0.4018","0.1375","0.3446","0.3437"
"1.254E-06","0.7988","1.599","0.4018","0.1375","0.3446","0.3438"
"1.256E-06","0.7989","1.599","0.4018","0.1376","0.3446","0.3438"
"1.258E-06","0.7987","1.598","0.4017","0.1376","0.3445","0.3438"
"1.26E-06","0.7985","1.598","0.4017","0.1376","0.3444","0.3437"
"1.262E-06","0.7984","1.598","0.4017","0.1376","0.3444","0.3437"
"1.264E-06","0.7984","1.598","0.4015","0.1378","0.3445","0.3437"
"1.266E-06","0.7976","1.596","0.4011","0.138","0.3439","0.3437"
"1.268E-06","0.7964","1.594","0.4011","0.1379","0.3439","0.3433"
"1.27E-06","0.796","1.593","0.4011","0.1378","0.3439","0.3432"
"1.272E-06","0.7959","1.593","0.4007","0.1382","0.3439","0.3431"
"1.274E-06","0.7944","1.589","0.4","0.1385","0.343","0.3432"
"1.276E-06","0.7924","1.586","0.3999","0.1383","0.3429","0.3425"
"1.278E-06","0.7916","1.584","0.3999","0.1382","0.3429","0.3423"
"1.28E-06","0.7914","1.584","0.3994","0.1387","0.3429","0.3422"
"1.282E-06","0.7892","1.579","0.3983","0.1393","0.3416","0.3422"
"1.284E-06","0.7863","1.573","0.3983","0.1389","0.3415","0.3413"
"1.286E-06","0.7852","1.571","0.3983","0.1387","0.3415","0.3409"
"1.288E-06","0.7848","1.571","0.3976","0.1394","0.3415","0.3408"
"1.29E-06","0.782","1.564","0.3962","0.1401","0.3397","0.3408"
"1.292E-06","0.7782","1.557","0.3962","0.1396","0.3397","0.3396"
"1.294E-06","0.7768","1.554","0.3962","0.1394","0.3397","0.3391"
"1.296E-06","0.7764","1.554","0.3955","0.1401","0.3397","0.3389"
"1.298E-06","0.7728","1.545","0.3936","0.1411","0.3375","0.339"
"1.3E-06","0.7681","1.537","0.3935","0.1405","0.3374","0.3375"
"1.302E-06","0.7663","1.533","0.3935","0.1402","0.3374","0.3369"
"1.304E-06","0.7658","1.533","0.3925","0.1412","0.3374","0.3367"
"1.306E-06","0.7616","1.523","0.3904","0.1423","0.3348","0.3368"
"1.308E-06","0.7561","1.513","0.3904","0.1416","0.3347","0.335"
"1.31E-06","0.754","1.509","0.3904","0.1412","0.3347","0.3343"
"1.312E-06","0.7534","1.508","0.3893","0.1424","0.3348","0.334"
"1.314E-06","0.7486","1.496","0.3868","0.1436","0.3317","0.3341"
"1.316E-06","0.7422","1.485","0.3868","0.1428","0.3316","0.3321"
"1.318E-06","0.7398","1.48","0.3868","0.1424","0.3316","0.3312"
"1.32E-06","0.7391","1.479","0.3856","0.1435","0.3317","0.3309"
"1.322E-06","0.7336","1.466","0.3828","0.145","0.3283","0.3311"
"1.324E-06","0.7264","1.453","0.3827","0.1441","0.3281","0.3288"
"1.326E-06","0.7237","1.448","0.3827","0.1437","0.3281","0.3278"
"1.328E-06","0.7229","1.447","0.3816","0.1447","0.3282","0.3275"
"1.33E-06","0.7168","1.432","0.3783","0.1466","0.3244","0.3276"
"1.332E-06","0.7089","1.418","0.3782","0.1456","0.3242","0.325"
"1.334E-06","0.7058","1.412","0.3782","0.1451","0.3243","0.3239"
"1.336E-06","0.7049","1.411","0.3767","0.1467","0.3243","0.3236"
"1.338E-06","0.6983","1.395","0.3733","0.1484","0.3201","0.3238"
"1.34E-06","0.6895","1.379","0.3732","0.1472","0.3199","0.3209"
"1.342E-06","0.6861","1.373","0.3732","0.1467","0.32","0.3197"
"1.344E-06","0.6851","1.371","0.3715","0.1484","0.32","0.3193"
"1.346E-06","0.6779","1.354","0.3679","0.1502","0.3155","0.3195"
"1.348E-06","0.6683","1.336","0.3678","0.149","0.3153","0.3164"
"1.35E-06","0.6646","1.33","0.3678","0.1484","0.3153","0.3151"
"1.352E-06","0.6635","1.328","0.366","0.1502","0.3154","0.3147"
"1.354E-06","0.6558","1.31","0.3621","0.1522","0.3105","0.3149"
"1.356E-06","0.6455","1.291","0.362","0.1509","0.3103","0.3116"
"1.358E-06","0.6415","1.284","0.362","0.1503","0.3104","0.3102"
"1.36E-06","0.6404","1.282","0.3601","0.1521","0.3104","0.3097"
"1.362E-06","0.6321","1.262","0.3558","0.1543","0.3052","0.3099"
"1.364E-06","0.621","1.241","0.3557","0.1529","0.3049","0.3064"
"1.366E-06","0.6167","1.234","0.3557","0.1523","0.305","0.3049"
"1.368E-06","0.6155","1.232","0.3537","0.1543","0.305","0.3044"
"1.37E-06","0.6067","1.211","0.3492","0.1566","0.2995","0.3046"
"1.372E-06","0.595","1.189","0.3491","0.155","0.2992","0.3008"
"1.374E-06","0.5905","1.181","0.3491","0.1544","0.2993","0.2992"
"1.376E-06","0.5892","1.179","0.3472","0.1562","0.2994","0.2987"
"1.378E-06","0.5798","1.157","0.3422","0.1589","0.2935","0.2989"
"1.38E-06","0.5674","1.134","0.3421","0.1573","0.2932","0.295"
"1.382E-06","0.5626","1.125","0.3421","0.1566","0.2933","0.2933"
"1.384E-06","0.5613","1.123","0.3402","0.1584","0.2934","0.2927"
"1.386E-06","0.5514","1.1","0.3348","0.1613","0.2872","0.293"
"1.388E-06","0.5384","1.076","0.3347","0.1596","0.2869","0.2888"
"1.39E-06","0.5334","1.067","0.3347","0.1589","0.287","0.287"
"1.392E-06","0.532","1.065","0.3324","0.1613","0.287","0.2865"
"1.394E-06","0.5217","1.04","0.3272","0.1639","0.2806","0.2867"
"1.396E-06","0.5081","1.015","0.327","0.1621","0.2803","0.2823"
"1.398E-06","0.5028","1.006","0.327","0.1614","0.2804","0.2804"
"1.4E-06","0.5013","1.003","0.3245","0.1638","0.2804","0.2799"
"1.402E-06","0.4907","0.9781","0.3191","0.1665","0.2737","0.2801"
"1.404E-06","0.4764","0.9516","0.319","0.1647","0.2734","0.2756"
"1.406E-06","0.471","0.942","0.319","0.1639","0.2735","0.2736"
"1.408E-06","0.4694","0.9394","0.317","0.1657","0.2736","0.273"
"1.41E-06","0.4583","0.9132","0.3108","0.1693","0.2666","0.2733"
"1.412E-06","0.4436","0.8859","0.3106","0.1674","0.2663","0.2686"
"1.414E-06","0.4379","0.8759","0.3107","0.1665","0.2664","0.2665"
"1.416E-06","0.4363","0.8732","0.3083","0.1688","0.2664","0.2659"
"1.418E-06","0.4248","0.8461","0.3022","0.1721","0.2593","0.2662"
"1.42E-06","0.4097","0.8179","0.3021","0.1701","0.2589","0.2613"
"1.422E-06","0.4038","0.8076","0.3021","0.1692","0.259","0.2592"
"1.424E-06","0.4022","0.8048","0.2994","0.172","0.2591","0.2586"
"1.426E-06","0.3904","0.7771","0.2934","0.175","0.2517","0.2589"
"1.428E-06","0.3747","0.7478","0.2932","0.1729","0.2513","0.2538"
"1.43E-06","0.3687","0.7372","0.2932","0.172","0.2514","0.2517"
"1.432E-06","0.367","0.7343","0.2905","0.1748","0.2515","0.251"
"1.434E-06","0.3547","0.7056","0.2843","0.1779","0.2439","0.2513"
"1.436E-06","0.3388","0.676","0.2841","0.1758","0.2435","0.2461"
"1.438E-06","0.3326","0.665","0.2842","0.1749","0.2436","0.2439"
"1.44E-06","0.3308","0.662","0.2818","0.1771","0.2437","0.2432"
"1.442E-06","0.3183","0.6327","0.275","0.1809","0.2359","0.2435"
"1.444E-06","0.302","0.6023","0.2748","0.1788","0.2356","0.2383"
"1.446E-06","0.2956","0.591","0.2749","0.1778","0.2357","0.236"
"1.448E-06","0.2939","0.588","0.2725","0.18","0.2357","0.2353"
"1.45E-06","0.2812","0.5583","0.2656","0.184","0.2278","0.2356"
"1.452E-06","0.2644","0.527","0.2654","0.1818","0.2274","0.2302"
"1.454E-06","0.258","0.5157","0.2654","0.1808","0.2276","0.2279"
"1.456E-06","0.2562","0.5126","0.2624","0.1838","0.2276","0.2272"
"1.458E-06","0.2432","0.4821","0.2559","0.1871","0.2195","0.2275"
"1.46E-06","0.2261","0.4504","0.2557","0.1848","0.2192","0.222"
"1.462E-06","0.2196","0.4388","0.2557","0.1839","0.2193","0.2197"
"1.464E-06","0.2177","0.4357","0.2527","0.1869","0.2193","0.2189"
"1.466E-06","0.2046","0.4048","0.2461","0.1902","0.2112","0.2192"
"1.468E-06","0.1874","0.3729","0.2459","0.1879","0.2108","0.2137"
"1.47E-06","0.1807","0.3611","0.246","0.187","0.2109","0.2113"
"1.472E-06","0.1789","0.3579","0.2431","0.1898","0.211","0.2106"
"1.474E-06","0.1655","0.3266","0.2362","0.1933","0.2027","0.2109"
"1.476E-06","0.1481","0.2941","0.236","0.1911","0.2023","0.2053"
"1.478E-06","0.1414","0.2823","0.2361","0.1901","0.2024","0.2029"
"1.48E-06","0.1395","0.279","0.2331","0.193","0.2025","0.2021"
"1.482E-06","0.126","0.2475","0.2262","0.1965","0.1941","0.2024"
"1.484E-06","0.1084","0.2147","0.226","0.1942","0.1937","0.1967"
"1.486E-06","0.1017","0.2028","0.2261","0.1932","0.1939","0.1943"
"1.488E-06","0.09973","0.1995","0.223","0.1963","0.1939","0.1936"
"1.49E-06","0.08623","0.1678","0.2162","0.1997","0.1855","0.1939"
"1.492E-06","0.06853","0.1349","0.216","0.1974","0.1851","0.1882"
"1.494E-06","0.06174","0.1229","0.2161","0.1964","0.1853","0.1858"
"1.496E-06","0.05981","0.1196","0.2129","0.1995","0.1853","0.185"
"1.498E-06","0.04621","0.08768","0.2061","0.2029","0.1769","0.1853"
"1.5E-06","0.02843","0.05459","0.2059","0.2006","0.1765","0.1796"
"1.502E-06","0.02155","0.04246","0.2059","0.1996","0.1766","0.1771"
"1.504E-06","0.0196","0.03915","0.2034","0.2019","0.1767","0.1764"
"1.506E-06","0.006098","0.007409","0.196","0.2061","0.1682","0.1767"
"1.508E-06","-0.01167","-0.02565","0.1958","0.2038","0.1678","0.171"
"1.51E-06","-0.01859","-0.03787","0.1959","0.2027","0.168","0.1685"
"1.512E-06","-0.02052","-0.04113","0.1928","0.2058","0.168","0.1678"
"1.514E-06","-0.03412","-0.07308","0.1859","0.2093","0.1596","0.168"
"1.516E-06","-0.05194","-0.1062","0.1857","0.2069","0.1592","0.1623"
"1.518E-06","-0.0588","-0.1183","0.1858","0.2059","0.1593","0.1599"
"1.52E-06","-0.06073","-0.1216","0.1827","0.209","0.1594","0.1591"
"1.522E-06","-0.07422","-0.1533","0.1759","0.2124","0.151","0.1594"
"1.524E-06","-0.09187","-0.1861","0.1757","0.2101","0.1506","0.1537"
"1.526E-06","-0.09873","-0.1982","0.1757","0.2091","0.1507","0.1513"
"1.528E-06","-0.1006","-0.2015","0.1727","0.2122","0.1508","0.1505"
"1.53E-06","-0.114","-0.233","0.1659","0.2155","0.1424","0.1508"
"1.532E-06","-0.1317","-0.2658","0.1657","0.2132","0.142","0.1452"
"1.534E-06","-0.1385","-0.2778","0.1657","0.2122","0.1421","0.1427"
"1.536E-06","-0.1404","-0.281","0.1633","0.2144","0.1422","0.142"
"1.538E-06","-0.1536","-0.312","0.156","0.2186","0.1339","0.1423"
"1.54E-06","-0.1711","-0.3447","0.1558","0.2164","0.1335","0.1367"
"1.542E-06","-0.1779","-0.3567","0.1558","0.2154","0.1336","0.1343"
"1.544E-06","-0.1798","-0.3599","0.1531","0.2179","0.1337","0.1335"
"1.546E-06","-0.1929","-0.3908","0.1462","0.2216","0.1256","0.1338"
"1.548E-06","-0.2102","-0.4228","0.146","0.2194","0.1252","0.1283"
"1.55E-06","-0.2168","-0.4345","0.1461","0.2184","0.1253","0.1259"
"1.552E-06","-0.2187","-0.4376","0.1431","0.2214","0.1254","0.1252"
"1.554E-06","-0.2316","-0.4681","0.1366","0.2247","0.1173","0.1255"
"1.556E-06","-0.2486","-0.4998","0.1364","0.2224","0.1169","0.12"
"1.558E-06","-0.2552","-0.5115","0.1364","0.2215","0.117","0.1176"
"1.56E-06","-0.2571","-0.5146","0.1335","0.2244","0.1171","0.1169"
"1.562E-06","-0.2697","-0.5443","0.1271","0.2276","0.1092","0.1172"
"1.564E-06","-0.2866","-0.5756","0.1269","0.2254","0.1088","0.1118"
"1.566E-06","-0.293","-0.5869","0.1269","0.2244","0.1089","0.1095"
"1.568E-06","-0.2948","-0.59","0.1245","0.2268","0.109","0.1088"
"1.57E-06","-0.3073","-0.6194","0.1178","0.2304","0.1012","0.1091"
"1.572E-06","-0.3236","-0.6498","0.1176","0.2283","0.1008","0.1038"
"1.574E-06","-0.33","-0.661","0.1177","0.2274","0.1009","0.1016"
"1.576E-06","-0.3318","-0.664","0.1149","0.2301","0.101","0.1009"
"1.578E-06","-0.3439","-0.6926","0.1087","0.2332","0.09339","0.1012"
"1.58E-06","-0.36","-0.7225","0.1085","0.2311","0.09303","0.096"
"1.582E-06","-0.3662","-0.7334","0.1086","0.2302","0.09314","0.09379"
"1.584E-06","-0.3679","-0.7363","0.1059","0.233","0.09321","0.09312"
"1.586E-06","-0.3798","-0.7643","0.09987","0.2359","0.0858","0.09338"
"1.588E-06","-0.3954","-0.7933","0.09968","0.2339","0.08544","0.08836"
"1.59E-06","-0.4014","-0.8039","0.09972","0.233","0.08555","0.08621"
"1.592E-06","-0.4031","-0.8068","0.09708","0.2357","0.08562","0.08555"
"1.594E-06","-0.4147","-0.834","0.09128","0.2385","0.07844","0.08579"
"1.596E-06","-0.4298","-0.8621","0.0911","0.2366","0.07809","0.08093"
"1.598E-06","-0.4356","-0.8724","0.09114","0.2357","0.07819","0.07885"
"1.6E-06","-0.4373","-0.8752","0.0891","0.2375","0.07826","0.0782"
"1.602E-06","-0.4485","-0.9015","0.08296","0.241","0.0713","0.07844"
"1.604E-06","-0.4631","-0.9287","0.08279","0.2391","0.07097","0.07374"
"1.606E-06","-0.4688","-0.9387","0.08283","0.2383","0.07107","0.07172"
"1.608E-06","-0.4704","-0.9414","0.08042","0.2407","0.07114","0.0711"
"1.61E-06","-0.4811","-0.9667","0.07494","0.2435","0.06442","0.07134"
"1.612E-06","-0.4953","-0.993","0.07477","0.2416","0.0641","0.06679"
"1.614E-06","-0.5008","-1.003","0.07481","0.2408","0.0642","0.06484"
"1.616E-06","-0.5023","-1.005","0.07243","0.2432","0.06426","0.06425"
"1.618E-06","-0.5126","-1.029","0.06724","0.2458","0.05782","0.06448"
"1.62E-06","-0.5262","-1.055","0.06707","0.244","0.05751","0.06012"
"1.622E-06","-0.5315","-1.064","0.06711","0.2432","0.0576","0.05824"
"1.624E-06","-0.5329","-1.067","0.06485","0.2455","0.05766","0.05766"
"1.626E-06","-0.5427","-1.09","0.05988","0.248","0.05151","0.0579"
"1.628E-06","-0.5558","-1.114","0.05972","0.2463","0.05121","0.0537"
"1.63E-06","-0.5608","-1.123","0.05975","0.2456","0.0513","0.05192"
"1.632E-06","-0.5622","-1.125","0.05788","0.2473","0.05135","0.05136"
"1.634E-06","-0.5716","-1.147","0.05286","0.2501","0.04549","0.05158"
"1.636E-06","-0.584","-1.17","0.0527","0.2485","0.0452","0.04761"
"1.638E-06","-0.5888","-1.179","0.05274","0.2478","0.04529","0.04589"
"1.64E-06","-0.5901","-1.181","0.05083","0.2496","0.04534","0.04537"
"1.642E-06","-0.5989","-1.202","0.04623","0.252","0.03981","0.04558"
"1.644E-06","-0.6107","-1.224","0.04609","0.2505","0.03953","0.04182"
"1.646E-06","-0.6152","-1.232","0.04612","0.2498","0.03961","0.0402"
