  Time                 , V(N00099)-V(N00103)  , V(N00115)-V(N00119)  , (V(N00099)+V(N00103))/2, (V(N00115)+V(N00119))/2, V(N00099)            , V(N00103)            , V(N00115)            , V(N00119)            
  0.000000000000e+00  ,4.679516116046e-06  ,3.132488792549e-04  ,8.999624703110e-01  ,8.999389315045e-01  ,8.999648100691e-01  ,8.999601305530e-01  ,9.000955559441e-01  ,8.997823070648e-01  
  1.000000000000e-12  ,4.687213541743e-06  ,3.132488792439e-04  ,8.999624703269e-01  ,8.999389315041e-01  ,8.999648139336e-01  ,8.999601267201e-01  ,9.000955559438e-01  ,8.997823070645e-01  
  2.000000000000e-12  ,4.705035138719e-06  ,3.132488792371e-04  ,8.999624703472e-01  ,8.999389315029e-01  ,8.999648228648e-01  ,8.999601178296e-01  ,9.000955559425e-01  ,8.997823070633e-01  
  3.256012183148e-12  ,4.752595012980e-06  ,3.132488792379e-04  ,8.999624703867e-01  ,8.999389315038e-01  ,8.999648466842e-01  ,8.999600940892e-01  ,9.000955559435e-01  ,8.997823070642e-01  
  5.768036549445e-12  ,4.917830540463e-06  ,3.132488792444e-04  ,8.999624704943e-01  ,8.999389315028e-01  ,8.999649294096e-01  ,8.999600115791e-01  ,9.000955559424e-01  ,8.997823070632e-01  
  1.079208528204e-11  ,5.901689588028e-06  ,3.132488792639e-04  ,8.999624708600e-01  ,8.999389315072e-01  ,8.999654217048e-01  ,8.999595200152e-01  ,9.000955559468e-01  ,8.997823070675e-01  
  1.896007529972e-11  ,1.094664324419e-05  ,3.132488792392e-04  ,8.999624717251e-01  ,8.999389315112e-01  ,8.999679450468e-01  ,8.999569984035e-01  ,9.000955559508e-01  ,8.997823070715e-01  
  3.529605533509e-11  ,4.176513615439e-05  ,3.132488791996e-04  ,8.999624739753e-01  ,8.999389314885e-01  ,8.999833565434e-01  ,8.999415914072e-01  ,9.000955559281e-01  ,8.997823070489e-01  
  6.796801540582e-11  ,2.564922173280e-04  ,3.132488801048e-04  ,8.999624839484e-01  ,8.999389315122e-01  ,9.000907300570e-01  ,8.998342378397e-01  ,9.000955559522e-01  ,8.997823070721e-01  
  1.012627974483e-10  ,7.479681654702e-04  ,3.132488818532e-04  ,8.999625088938e-01  ,8.999389315232e-01  ,9.003364929765e-01  ,8.995885248111e-01  ,9.000955559641e-01  ,8.997823070823e-01  
