  Time                 , V(N00099)-V(N00103)  , V(N00115)-V(N00119)  , (V(N00099)+V(N00103))/2, (V(N00115)+V(N00119))/2, V(N00099)            , V(N00103)            , V(N00115)            , V(N00119)            
  0.000000000000e+00  ,4.069463737988e-06  ,3.137289148741e-04  ,8.999624703084e-01  ,8.999389322917e-01  ,8.999645050403e-01  ,8.999604355765e-01  ,9.000957967492e-01  ,8.997820678343e-01  
  1.000000000000e-12  ,4.077418569559e-06  ,3.137289148751e-04  ,8.999624703247e-01  ,8.999389322934e-01  ,8.999645090340e-01  ,8.999604316155e-01  ,9.000957967508e-01  ,8.997820678359e-01  
  2.000000000000e-12  ,4.094751723027e-06  ,3.137289148769e-04  ,8.999624703435e-01  ,8.999389322920e-01  ,8.999645177194e-01  ,8.999604229677e-01  ,9.000957967495e-01  ,8.997820678346e-01  
  2.838554115035e-12  ,4.114950239664e-06  ,3.137289148811e-04  ,8.999624703631e-01  ,8.999389322911e-01  ,8.999645278382e-01  ,8.999604128880e-01  ,9.000957967485e-01  ,8.997820678336e-01  
  4.515662345104e-12  ,4.183995721774e-06  ,3.137289148903e-04  ,8.999624704181e-01  ,8.999389322885e-01  ,8.999645624160e-01  ,8.999603784202e-01  ,9.000957967459e-01  ,8.997820678310e-01  
  7.869878805242e-12  ,4.524706072484e-06  ,3.137289149003e-04  ,8.999624705924e-01  ,8.999389322908e-01  ,8.999647329455e-01  ,8.999602082394e-01  ,9.000957967482e-01  ,8.997820678333e-01  
  1.457831172552e-11  ,6.610882844260e-06  ,3.137289148775e-04  ,8.999624711353e-01  ,8.999389322980e-01  ,8.999657765767e-01  ,8.999591656939e-01  ,9.000957967554e-01  ,8.997820678405e-01  
  2.799517756607e-11  ,2.085146310415e-05  ,3.137289147319e-04  ,8.999624726137e-01  ,8.999389322890e-01  ,8.999728983452e-01  ,8.999520468821e-01  ,9.000957967464e-01  ,8.997820678316e-01  
  5.482890924718e-11  ,1.251102510219e-04  ,3.137289152303e-04  ,8.999624775838e-01  ,8.999389322859e-01  ,9.000250327093e-01  ,8.998999224583e-01  ,9.000957967435e-01  ,8.997820678282e-01  
  8.170047590788e-11  ,3.724251597379e-04  ,3.137289160814e-04  ,8.999624895726e-01  ,8.999389323092e-01  ,9.001487021524e-01  ,8.997762769927e-01  ,9.000957967672e-01  ,8.997820678512e-01  
