  Time                 , V(N00099)-V(N00103)  , V(N00115)-V(N00119)  , (V(N00099)+V(N00103))/2, (V(N00115)+V(N00119))/2, V(N00099)            , V(N00103)            , V(N00115)            , V(N00119)            
  0.000000000000e+00  ,4.679551961373e-06  ,3.229529913182e-04  ,8.999624518657e-01  ,8.999280798272e-01  ,8.999647916417e-01  ,8.999601120897e-01  ,9.000895563229e-01  ,8.997666033315e-01  
  1.000000000000e-12  ,4.683400673944e-06  ,3.229529913222e-04  ,8.999624518736e-01  ,8.999280798316e-01  ,8.999647935740e-01  ,8.999601101733e-01  ,9.000895563272e-01  ,8.997666033359e-01  
  2.000000000000e-12  ,4.692311472265e-06  ,3.229529913219e-04  ,8.999624518838e-01  ,8.999280798296e-01  ,8.999647980395e-01  ,8.999601057281e-01  ,9.000895563253e-01  ,8.997666033340e-01  
  3.493026502430e-12  ,4.715618733053e-06  ,3.229529913170e-04  ,8.999624519050e-01  ,8.999280798280e-01  ,8.999648097144e-01  ,8.999600940957e-01  ,9.000895563237e-01  ,8.997666033324e-01  
  6.479079507291e-12  ,4.829018086738e-06  ,3.229529912963e-04  ,8.999624519755e-01  ,8.999280798261e-01  ,8.999648664845e-01  ,8.999600374665e-01  ,9.000895563217e-01  ,8.997666033304e-01  
  1.245118551701e-11  ,5.578530285599e-06  ,3.229529913257e-04  ,8.999624522166e-01  ,8.999280798218e-01  ,8.999652414818e-01  ,8.999596629515e-01  ,9.000895563175e-01  ,8.997666033261e-01  
  2.439539753646e-11  ,1.127614881058e-05  ,3.229529914067e-04  ,8.999624529101e-01  ,8.999280798278e-01  ,8.999680909845e-01  ,8.999568148357e-01  ,9.000895563235e-01  ,8.997666033321e-01  
  4.828382157534e-11  ,5.287878670612e-05  ,3.229529906004e-04  ,8.999624550726e-01  ,8.999280798314e-01  ,8.999888944659e-01  ,8.999360156792e-01  ,9.000895563267e-01  ,8.997666033361e-01  
  8.619447112828e-11  ,2.515111823781e-04  ,3.229529867784e-04  ,8.999624648075e-01  ,8.999280798277e-01  ,9.000882203987e-01  ,8.998367092163e-01  ,9.000895563211e-01  ,8.997666033343e-01  
  1.367827492282e-10  ,8.710294036881e-04  ,3.229528237100e-04  ,8.999624946359e-01  ,8.999280816723e-01  ,9.003980093377e-01  ,8.995269799340e-01  ,9.000895580842e-01  ,8.997666052605e-01  
  2.350023562536e-10  ,3.559633719516e-03  ,3.229264544534e-04  ,8.999625810739e-01  ,8.999283043543e-01  ,9.017423979337e-01  ,8.981827642142e-01  ,9.000897675815e-01  ,8.997668411270e-01  
  3.350031177029e-10  ,8.490050792765e-03  ,3.226892097609e-04  ,8.999626865512e-01  ,8.999299885209e-01  ,9.042077119475e-01  ,8.957176611548e-01  ,9.000913331257e-01  ,8.997686439160e-01  
  4.350038791522e-10  ,1.562220815474e-02  ,3.217796201815e-04  ,8.999628064276e-01  ,8.999355059969e-01  ,9.077739105050e-01  ,8.921517023502e-01  ,9.000963958070e-01  ,8.997746161868e-01  
  5.350046406016e-10  ,2.479506739314e-02  ,3.194285930498e-04  ,8.999629370320e-01  ,8.999474882489e-01  ,9.123604707286e-01  ,8.875654033355e-01  ,9.001072025454e-01  ,8.997877739524e-01  
  6.350054020509e-10  ,3.576868512909e-02  ,3.146922124065e-04  ,8.999630724459e-01  ,8.999671850710e-01  ,9.178474150104e-01  ,8.820787298813e-01  ,9.001245311772e-01  ,8.998098389648e-01  
  7.350061635002e-10  ,4.828047186401e-02  ,3.066310403502e-04  ,8.999632090202e-01  ,8.999935610510e-01  ,9.241034449522e-01  ,8.758229730882e-01  ,9.001468765712e-01  ,8.998402455308e-01  
  8.350069249496e-10  ,6.207874196837e-02  ,2.943861721645e-04  ,8.999633441426e-01  ,9.000239105570e-01  ,9.310027151267e-01  ,8.689239731584e-01  ,9.001711036431e-01  ,8.998767174710e-01  
  9.350076863989e-10  ,7.693860520515e-02  ,2.771489834019e-04  ,8.999634739018e-01  ,9.000551554877e-01  ,9.384327765044e-01  ,8.614941712992e-01  ,9.001937299794e-01  ,8.999165809960e-01  
  1.035008447848e-09  ,9.266695487603e-02  ,2.541617489273e-04  ,8.999635935529e-01  ,9.000845148773e-01  ,9.462970709909e-01  ,8.536301161149e-01  ,9.002115957518e-01  ,8.999574340029e-01  
  1.135009209298e-09  ,1.091017068408e-01  ,2.248516501172e-04  ,8.999636997113e-01  ,9.001093451708e-01  ,9.545145531317e-01  ,8.454128462909e-01  ,9.002217709958e-01  ,8.999969193457e-01  
  1.235009970747e-09  ,1.261084963609e-01  ,1.890440854072e-04  ,8.999637922536e-01  ,9.001270706977e-01  ,9.630180404340e-01  ,8.369095440731e-01  ,9.002215927404e-01  ,9.000325486550e-01  
  1.335010732196e-09  ,1.435766011864e-01  ,1.471058703568e-04  ,8.999638745896e-01  ,9.001358985312e-01  ,9.717521751828e-01  ,8.281755739964e-01  ,9.002094514664e-01  ,9.000623455960e-01  
  1.435011493646e-09  ,1.614149669164e-01  ,9.992546961390e-05  ,8.999639521414e-01  ,9.001358938284e-01  ,9.806714355996e-01  ,8.192564686832e-01  ,9.001858565633e-01  ,9.000859310936e-01  
  1.535012255095e-09  ,1.795486994130e-01  ,4.876749160332e-05  ,8.999640301093e-01  ,9.001293917373e-01  ,9.897383798158e-01  ,8.101896804028e-01  ,9.001537754831e-01  ,9.001050079915e-01  
  1.635013016544e-09  ,1.979161149345e-01  ,-4.890865020757e-06  ,8.999641118570e-01  ,9.001202482009e-01  ,9.989221693242e-01  ,8.010060543897e-01  ,9.001178027684e-01  ,9.001226936334e-01  
  1.735013777994e-09  ,2.164663108952e-01  ,-5.947014069974e-05  ,8.999641984406e-01  ,9.001123986554e-01  ,1.008197353888e+00  ,7.917310429930e-01  ,9.000826635851e-01  ,9.001421337258e-01  
  1.835014539443e-09  ,2.351571789235e-01  ,-1.133553929957e-04  ,8.999642889875e-01  ,9.001086102607e-01  ,1.017542878449e+00  ,7.823856995257e-01  ,9.000519325642e-01  ,9.001652879572e-01  
  1.935015300892e-09  ,2.539537827091e-01  ,-1.649679234993e-04  ,8.999643814418e-01  ,9.001099448459e-01  ,1.026941272796e+00  ,7.729874900872e-01  ,9.000274608842e-01  ,9.001924288077e-01  
  2.035016062342e-09  ,2.728270360198e-01  ,-2.128626075035e-04  ,8.999644733837e-01  ,9.001158479853e-01  ,1.036377991394e+00  ,7.635509553739e-01  ,9.000094166815e-01  ,9.002222792890e-01  
  2.135016823791e-09  ,2.917526274195e-01  ,-2.558215653075e-04  ,8.999645627639e-01  ,9.001245308585e-01  ,1.045840876474e+00  ,7.540882490541e-01  ,8.999966200758e-01  ,9.002524416411e-01  
  2.235017585240e-09  ,3.107101458885e-01  ,-2.928981412882e-04  ,8.999646483853e-01  ,9.001334654140e-01  ,1.055319721330e+00  ,7.446095754410e-01  ,8.999870163433e-01  ,9.002799144846e-01  
  2.335018346690e-09  ,3.296823683859e-01  ,-3.233938066254e-04  ,8.999647300050e-01  ,9.001400091379e-01  ,1.064805914198e+00  ,7.351235458121e-01  ,8.999783122346e-01  ,9.003017060412e-01  
  2.435019108139e-09  ,3.486546777958e-01  ,-3.467930752575e-04  ,8.999648080826e-01  ,9.001421404712e-01  ,1.074292146981e+00  ,7.256374691847e-01  ,8.999687439336e-01  ,9.003155370088e-01  
  2.535019869588e-09  ,3.676145868324e-01  ,-3.627009229558e-04  ,8.999648833731e-01  ,9.001390976171e-01  ,1.083772176789e+00  ,7.161575899569e-01  ,8.999577471557e-01  ,9.003204480786e-01  
  2.635020631038e-09  ,3.865513489870e-01  ,-3.708142610700e-04  ,8.999649565889e-01  ,9.001316301014e-01  ,1.093240631082e+00  ,7.066892820954e-01  ,8.999462229709e-01  ,9.003170372320e-01  
  2.735021392487e-09  ,4.054556411668e-01  ,-3.709320336427e-04  ,8.999650282453e-01  ,9.001217184412e-01  ,1.102692848829e+00  ,6.972372076619e-01  ,8.999362524244e-01  ,9.003071844581e-01  
  2.835022153936e-09  ,4.243193050084e-01  ,-3.629900214296e-04  ,8.999650986605e-01  ,9.001118791702e-01  ,1.112124751165e+00  ,6.878054461563e-01  ,8.999303841595e-01  ,9.002933741809e-01  
